text;definition;example;frequency;category
company man;This idiom refers to a worker who is more loyal to his employer than to his fellow workers.;He's never criticized the boss, he has always been a company man.;0;men and women
con artist;This idiom refers to a person who makes a living by swindling people.;Many con artists target the elderly by trying to gain their confidence.;0;art
cool as a cucumber;Very calm.;It's amazing that he never shows his emotions even when he has a lot of problems. He's cool as a cucumber.;0;food
coon's age;This idiom refers to a very long period of time.;It's been a coon's age since I last went to the theater.;0;age
cost a bomb;This idiom refers to something that is extremely expensive.;It cost me a bomb.;0;parts of the body
cost an arm and a leg;To be extremely expensive.;He bought a new house. It cost him an arm and a leg.;0;money
couch potato;Lazy person.;He is a couch potato.;0;food
count one's chickens before they hatch;To assume success too early, before it is certain.;It's too soon to cry victory. Don't count your chicken before they hatch!;0;animals
cream of the crop;This idiom means the best of all.;Don't worry about your studies, you are the cream of the crop.;0;food
crime doesn't pay;This idiom is used to suggest that crime will ultimately not benefit a person.;Doing something illegal to get money may be tempting for some, but in fact crime doesn't pay.;0;crime
cross swords;To quarrel or argue with someone, to have a dispute with someone.;The boss didn't want to cross swords with the workers' union.;0;war
crux of the matter;This idiom refers to the most important point of an issue.;I think his new revelations about the company is the crux of the matter.;0;religion
cry wolf;To ask for help when there is really no danger.;Because he cried wolf too often, people stopped believing that he needs help.;0;animals
cupboard love;This idiom refers to affection that is given purely to gain something from someone.;It was just cupboard love, and what she really wanted was the money she used to get from him.;0;love
curiosity killed the cat;This idiom is used to warn someone not to be too curious about something and ask too many questions because this can get you into trouble.;I wonder who killed that wealthy man? Curiosity killed the cat.;0;animals
curl your lip;An upward movement of the side of the mouth to show dislike and disrespect.;He asked her not curl her lip at him.;0;parts of the body
cut a rug;To dance.;The couple impressed everybody when they cut a rug at the party.;0;furniture
cut one's throat;This idiom means to bring about one's own ruin and downfall.;Corrupt cops are cutting their own throats.;0;parts of the body
cut your losses;This idiom is used to mean that you should do something to avoid losing any more money.;When he felt that his project was failing, he had to sell everything to cut his losses.;0;money
dad fetch my buttons;Said to express a surprise.;Dad fetch my buttons! He won a lot of money in the lotery.;0;technology and science
dance on someone's grave;To celebrate a person's death triumphantly.;He said to his enemies that he would recover his strength and would surely dance on their graves.;0;death
dance with death;Try to do something that involves a lot of risks.;He danced with death when he tried to negotiate a deal with that dangerous criminal.;0;general
dark horse;This idiom refers to a usually little-known person who unexpectedly wins or succeeds, especially in a competition of some sort.;Although she had suffered from a severe illness this year, she managed to win the race.;0;animals
darken someone's door;This idiom means to be an unwelcome visitor.;Never darken my door again!;0;furniture
daydream about someone or something;This idiom means to have fantasies about someone or something while one is awake.;He's daydreaming about running away to a warm Caribbean island.;0;dreams
dead and buried;No longer in use or under consideration, irrelevant, forgotten.;All past animosities are dead and buried now.;0;death
dead duck;Said about someone or something that is is doomed to failure or death.;Due to enough unfavorable intelligence about the enemy, the attack they were intending to launch was a dead duck right from the start.;0;animals
dead loss;To be absolutely unsuccessful or useless (a complete failure);When it comes to math, my sisiter is a dead loss.;0;general
dead meat;Someone in danger of death or severe punishment.;You'll be dead meat if you go on treating these poor people like that.;0;death
dead right;It means that they are absolutely correct.;His wife is really beautiful. You're dead right!;0;death
dead serious;This idiom means one is absolutely serious and is not joking.;Stop lying. I'm dead serious.;0;death
dead to the world;Said about someone who is sound asleep or unconscious.;He slept right through the night and was still dead to the world when I went out.;0;death
dead wood;Workers no longer contributing to an organization.;There's a lot of dead wood in this company.;0;death
desert a sinking ship;This idiom means to stop being involved in a situation because failure is imminent.;She knew it was time to desert a sinking ship because she had read all the reports about the catastrophic financial situation of the company.;0;travel
devil finds work for idle hands to do;People are inclined to do frivolous or harmful things to get rid of their boredom when they don't do anything useful.;My husband made sure that the children are always occupied doing something because you know the devil finds work for idle hands to do.;0;work
devil of a time;To have a very difficult time.;Before she divorced, Ann had had a devil of a time with my her husband.;0;time
devil-may-care;Careless, reckless or defiant.;He has a rather devil-may-care attitude to his wife's illness.;0;religion
dice with death;To do something which is very risky, or dangerous, and could even cause one's death.;Someone who drinks and drives is someone who dices with death.;0;death
dime a dozen;Said about anything that is common, inexpensive, and easy to get or available any where.;We don't need someone like him in this company. People with his skills are a dime a dozen these days.;0;money
dip your toe in the water;Said when you start something carefully because you are not sure whether it will work or not.;I am doing some volunteer work at the new school to try and dip my toe in the water of working in the education field;0;parts of the body
dirty work;Unpleasant work or dishonest action.;I always have to do the dirty work. I never have fun.;0;work
do a number on;This idiom means to treat harshly, to hurt or to damage;I did a number on my back when I sat working on the computer for a long time.;0;numbers
do the dirty work;This idiom means to do the disagreeable, illegal or dishonest things.;He always sends his assistant to do his dirty work.;0;work
do the trick;Said about something that works.;Some lemon juice should do the trick to make this sauce more delicious.;0;general
dog's age;This idiom refers to a long period of time.;Hi Jane! It's been a dog's age since we last met.;0;age
dog's life;A miserable, unhappy existence.;I have to work everyday from dawn to sunset and come back home to take care of the children. It's really a dog's life.;0;life
dog-eat-dog;Said about a world where people do anything to be successful.;It's disheartening to know that we are living in a dog-eat-dog world.;0;animals
dogs are barking;This idiom means that your feet are hurting.;My dogs are barking because I walked ten miles.;0;animals
dollars to donuts;This idiomatic expression is used to suggest that something is very likely to be true or that one is certain about something.;I'll bet you dollars to donuts she won't accept his marriage proposal.;0;money
don't get me wrong;An expression said when you fear someone does not understand what you say.;Don't get me wrong but I think your plan may not work.;0;relationship
done to death;Something being used or discussed so many times that it has become boring.;That theme has been done to death by generations of poets.;0;death
doormat;This idiom describes a weak person who is abused by others and submits to domination.;His colleagues treat him like a doormat.;0;furniture
double-edged sword;A benefit that carries some significant but non-obvious cost or risk.;Being a genius child is a double-edged sword because you cannot communicate with ordinary children.;0;war
drag one's feet;To procrastinate, put off, to dawdle, avoid, or make progress slowly and reluctantly.;He's been dragging his feet about doing his homework.;0;parts of the body
drama queen;This idiom refers to a person who tends to react to every event or situation in an over-dramatic or exaggerated way.;She is such a drama queen! She always tends to exaggerate things.;0;art
drastic times call for drastic measures;This idiom means that when you face extreme and undesirable situations, it is sometimes necessary to take extreme actions.;We had to let go five of our workers because the company had problems selling the new product. Drastic times call for drastic measures!;0;time
draw fire;To attract hostile criticism.;His new book has drawn fire from many feminists.;0;war
draw in one's horns;To become less impassioned, aggressive, or argumentative, to back down from a fight, to yield or capitulate.;He wanted to fight again but we managed to calm him down and get him to draw in his horns.;0;music
draw the curtain on;This idiom means to bring it to an end.;I think it's time for me to draw the curtain on a long career of teaching.;0;furniture
draw the shortest straw;To be selected to do an undesirable task.;I drew the short straw and got stuck doing the whole project alone.;0;nature
dream come true;This idiom refers to something that you have always hoped for and that has happened.;Meeting her favorite star is a dream come true.;0;dreams
dream on;To express skepticism and say that something is unlikely to happen.;I think Jane is mad about me. Dream on!;0;dreams
dream ticket;This idiom refers to an ideal alliance between two people, usually candidates in an election.;Clinton and Gore were a dream ticket in the American presidential election of 1992.;0;dreams
dressed up to the nines;To wear fashionable or formal clothes for a special occasion.;They were invited to a wedding . That's why, they were dressed up to the nines.;0;numbers
drink like a fish;To drink alcohol excessively.;Alan really drank like a fish yesterday.;0;animals
drive a hard bargain;Negotiate forcefully.;It's gonna be a tough negotiations with them. They drive a hard bargain.;0;travel
drive someone up the wall;To irritate or annoy someone, to make a person very angry or bored, to infuriate.;Her persistent nagging drove me up the wall.;0;travel
drop a bombshell;This idiom refers to an alarming and unexpected announcement.;They dropped a bomb when they announced that the president would resign for health reasons.;0;war
drop a dime;This idiom means to make a phone call, usually calling the police to inform on or betray someone.;He went out to drop a dime on John.;0;money
drop in the bucket;Something so strong that it doesn't count or doesn't have any importance or significance.;His contribution was just a drop in the bucket compared to the rest of the team.;0;nature
drop the subject;To stop discussing a subject.;Please drop the subject. I don't want to discuss it further.;0;general
easy come, easy go;Said about something which is easily won or obtained and then soon spent or lost.;He lost a large amount of money in poker. But that's gambling, easy come, easy go.;0;general
easy on the ear;Something (music, voice...) pleasant to listen to.;His music is easy on the ear.;0;parts of the body
easy on the eye;Attractive, pleasant to look at.;Her paintings are easy on the eye.;0;parts of the body
eat humble pie;Said when you admit that you were wrong.;In the begining he boasted that she would get the best grade. But then she was forced to eat humble pie.;0;food
eat like a horse;This idiom means to eat large amounts of food.;Have you noticed how fat he has become? No wonder he eats like a horse.;0;animals
eat your heart out;This idiom is meant as a joke that you are even better than another person (often a celebrity).;I am singing in the school party next week - Madonna, eat your heart out!;0;parts of the body
every cloud has a silver lining;This idiom is used to say that there is always something good even in an unpleasant, difficult or even painful situation.;You should never feel hopeless. Every cloud has a silver lining, you know;0;weather
every dog has its day;Everyone has a time of success and satisfaction.;You may become successful in your business someday. Every dog has his day.;0;animals
every man has his price;This idiom means that everyone can be bribed if you know how much or what to bribe him or her with.;"Give him more. You know, every man has his price!""";0;men and women
every man jack;This idiom means every person without exception.;All the volunteers contributed their time towards cleaning up the city, every man jack of them.;0;men and women
every minute;Describing the whole period that something lasted.;I enjoyed every minute of the match. It was just fantastic.;0;time
every Tom, Dick and Harry;Said about something that is common knowledge to everybody.;Every Tom, Dick and Harry knows what happened.;0;names
every trick in the book;Said when you try every possible way to achieve something.;She's tried every trick in the book to convince him in vain.;0;general
everybody and his cousin;A huge crowd, too many people;Everybody and his cousin will be in line for opening night with free popcorn!;0;relationship
everything but the kitchen sink;Almost everything, whether needed or not.;She must have brought everything but the kitchen sink along on the trip, and how she lifted her suitcase, I do not know.;0;home
expectant mother;A pregnant woman.;There are many good tips for expectant mothers in this little book.;0;relationship
experience is the mother of wisdom;This idiom means that people learn from what happens to them.;You will never understand the love parents have for their children until you get your own children. Experience is really the mother of wisdom.;0;relationship
eye candy;A very attractive person or persons or any object or sight with considerable visual appeal.;I'm going to the beach to check out some eye candy.;0;food
eye for an eye, a tooth for a tooth;This idiom refers to a principle found in Babylonian Law, in the Code of Hammurabi, as well as in monotheist religions - Judaism, Christianity and Islam. According to this principle a person who has injured another person is penalized to a similar degree.;If he killed the poor woman, he deserves to die. It's as simple as that - an eye for an eye, tooth for a tooth.;0;religion
face only a mother could love;A very ugly face.;Look at that poor girl. That's a face that only a mother could love.;0;relationship
face that would stop a clock;This idiom refers to an ugly face.;He was a wicked-looking man, with a face that would stop a clock.;0;time
face the music;Said when someone accepts to confront the unpleasant consequences of one's actions.;After failing to manage the crisis, the manager had to face the music.;0;parts of the body
fact of life;Something that cannot be avoided.;It is a pity that drug abuse has become a fact of life in the Olympic Games.;0;life
facts of life;The details about sex and reproduction.;His parents told him the facts of life when he was ten years old.;0;sexuality
fair-haired boy;A person highly regarded and by someone or a group and treated with special favor;Before he was fired out, he had been the fair-haired boy of the boss.;0;colors
fair-weather friend;Someone who is your friend only when the times are good.;Don't rely on him.He's a fair-weather friend.;0;relationship
fall for someone;To fall in love with someone.;He fell for her because she's so beautiful.;0;love
fall from grace;This idiom refers to a loss of status, respect, or prestige.;The politician has fallen from grace and has become very unpopular.;0;religion
fall head over heels for someone;To be in love with someone very much, hopelessly smitten.;They fell head over heels in love with each other.;0;love
fall in love;To begin feeling attracted to someone and love him or her.;When Jane and Math met for the first time, they fell madly in love.;0;relationship
fall in love with someone;To come to have feelings of love directed at another person or a thing;They fell in love with each other from the moment they saw each other.;0;love
fall off the back of a lorry;A euphemism for something acquired illegally or stolen.;He was trying to sell me a new laptop which I suspect fell off the back of a lorry.;0;travel
fall on deaf ears;Of a request, complaint, etc, to be ignored.;Every time I ask him to do something for me, it falls on deaf ears.;0;parts of the body
fall out of love;To stop being in love with someone.;She fell out of love with him when she knew he had been hiding secrets from her.;0;love
fall prey to;To become a victim.;When she married him, she fell prey to his greed.;0;animals
fall through the cracks;To be missed, to escape the necessary notice or attention;Complete every item, and make sure nothing falls through the cracks.;0;general
fan the flames;To make a bad feeling or situation become worse or more intense.;His racial declarations fanned the flames of the ethinc war.;0;nature
father figure;This idiom refers to an older man who is respected and who is characterized by power, authority, or strength.;The kids respected him as a father figure.;0;relationship
feast for the eyes;Visually pleasing sight.;Look at that painting. It's really a feast for the eyes.;0;parts of the body
feel blue;To feel sad.;She felt blue after her divorce.;0;colors
feel it in one's bones;This idiom means to have an intuition or hunch about something or to have a strong conviction as a result of one's own practical experience or instinct.;He is going to fail. I can feel it in my bones.;0;parts of the body
feel like a million;This idiom means to feel well and healthy, both physically and mentally.;It is a wonderful day! I feel like a million dollars.;0;numbers
feel your age;This idiom means to realize that you are growing old.;I really felt my age at work. All my colleagues looked very young.;0;age
fifth wheel;Anything superfluous or unnecessary.;I felt like a fifth wheel when they started looking at each other affectionately.;0;travel
fight fire with fire;To use the same methods and tactics that your opponent is using against you.;After the competitive offers from rival firms, our company has decided to fight fire with fire and reduce prices.;0;war
fight like cat and dog;To argue and fight violently.;Those two children always fight like cat and dog.;0;animals
fight the good fight;To try very hard to do what is right so as to have a clean conscience.;He said what he had to say. He fought the good fight and left with a clear conscience.;0;war
fill someone's shoes;This idiom means to take over someone's function or responsibilities and fulfill them satisfactorily;My father will retire soon and he expects my elder brother to fill his shoes at the store.;0;clothes
find one's way around something;To discover a way to move around it without getting lost.;He is apparently a professional. He knows his way around affiliate marketing.;0;travel
fine art;This idiom refers to something requiring highly developed techniques and skills.;They are good at the fine art of web development.;0;art
fine-tune;To make small adjustments to something until optimization is achieved;They need to fine-tune their plan before they start the project.;0;music
fish for compliments;To try to induce someone to make a compliment.;He is fishing for compliments.;0;animals
fish story;This idiom refers to an exaggerated story.;Don't try to fool me with your fish story.;0;animals
flimflam artist;This idiom refers to a swindler, especially one who goes after a big game and prepares for it carefully.;Don't trust him! He is a flimflam artist.;0;art
fly in the face of;To be in direct opposition to someone.;Jane's opinions fly in the face of conventions.;0;parts of the body
Food for thought;Information or knowledge that is worthy of contemplation.;The ideas developed in this book have certainly given me food for thought.;0;food
for a song;very cheaply.;She bought the house for a song.;0;money
for all I care;Used to suggest that you don't care.;You can go to the party alone, for all I care;0;general
for love nor money;Said when it is difficult to get something or persuade someone.;You can't get help for love nor money these days.;0;money
for my money;In my opinion.;For my money, Bill is the best one to choose as a partner.;0;money
for Pete's sake;To expresses frustration, exasperation, annoyance.;For Pete's sake, turn off the TV! I need some rest.;0;names
for the ages;This idiom refers to something that will be memorable and noteworthy, standing the test of time.;His speech wasn't a speech for the ages. It was barely a speech for the evening.;0;time
for the life of me;"This idiom is used colloquially to mean ""if one's (own) life depended on it."" It";I couldn't for the life of me remember where I met her.;0;life
for the love of God;To express surprise, exasperation, annoyance, or some similar feeling;For the love of God, stop shouting!;0;love
Forbidden fruit;Illicit pleasure or something desired that cannot be had.;She has always been his forbidden fruit because she's his teacher.;0;food
Freudian slip;Refers to a mistake in speech that shows what the speaker is truly thinking.;"Instead of saying ""nobody's perfect,"" he said, ""nobody else is perfect."" That's a Freudian slip.";0;names
gain ground;To become popular, to make progress, to advance.;The new product gained ground in a very short time.;0;nature
gas up;To fill a vehicle with gasoline.;I have to stop at the next station to gas up.;0;general
get a life;This is an idiom that indicates that someone's life is boring and pointless and that they should make their life more interesting.;Stop complaining! Get a life.;0;life
get away with something;This idiom means to do something bad and not get punished for it.;You can't get away with your mischief!;0;crime
get in someone's hair;Annoy someone.;I know that the children get in your hair, but you should try not to let it upset you so much.;0;parts of the body
get into deep water;To be in trouble.;He got into deep water when he joined that gang.;0;nature
get off my back!;This idiom means stop annoying or harassing me.;Get off my back. Stop criticizing me.;0;parts of the body
get off the track;To start talking about a different topic, instead of talking about the real one.;Instead of discussing the real reasons for their conflicts, they are getting of the track.;0;general
get on in years;Old, advanced in age.;Although she's getting on in years, she still looks young.;0;age
get on like a house on fire;Said about two people like each other and become very close friends in a very short time.;The two ladies are getting on like a house on fire.;0;relationship
get out of a jam;Get out of a bad situation.;I need some help getting out of a jam.;0;food
get religion;To decide to become religious or to behave in an ethical way and end one's immoral behavior.;After the terrible accident he had had, Allan got religion and joined the church.;0;religion
get something off your chest;To reveal something that is worrying you or making you feel guilty in order to feel relieved.;She felt relieved when she got it off her chest. She had felt guilty for years.;0;parts of the body
get the picture;To understand the situation without the need for more explanation.;I got the picture without listening to the whole story.;0;art
get the sack;To be dismissed from employment.;Because he was always late, he got the sack.;0;work
give me five;To want someone to slap your open hand as a greeting or to show joy.;Give me five! shouted Alan after he scored a goal.;0;numbers
give somebody a leg up;To help someone to achieve something, especially at work.;They agreed to give her a leg up.;0;parts of the body
give somebody the elbow;This idiom means to end a romantic relationship or a friendship with someone.;She gave him the elbow because she couldn't bear the way he used to treat her.;0;parts of the body
give the gun;This idiom means to make a motor or engine run faster, to speed up.;The burglars gave the motor the gun and drove off.;0;war
give the kiss of life;This idiom means to help a person who has stopped breathing by giving them artificial respiration, that is to say, by blowing into their mouth and pressing their chest.;He saved a victim of an accident by giving him the kiss of life.;0;life
give your eye teeth for something;Said when you want to have or do something very much.;She'd give her eye teeth for a straight blond hair.;0;parts of the body
go against the flow;To do the opposite of people do and not accept things as thy are.;In his last speech, the leader of the opposition went against the flow and declared that reducing taxes will harm the economy.;0;relationship
go bananas;To become very angry.;He went bananas when he heard the news.;0;food
go by the name;This idiom means to be known by a specific name, a name that is not your real name.;She goes by the name of Lisa.;0;names
go home in a box;To die and be shipped home.;Those soldiers are too young. It's a pitty that they go home in a box.;0;home
go in one ear and out the other;Said about something which is heard and then quickly forgotten.;Stop talking to him. Whatever you say to him just goes in one ear and out the other.;0;parts of the body
go steady with someone;To date one person regularly and exclusively.;Lisa has been going steady with that guy for a year now.;0;love
go through the roof;Become very angry.;She went through the roof when she realized she had lost everything.;0;home
go to hell in a handbasket;Go to a bad state of affairs quickly.;He said that all their plans for the project went to hell in a handbasket because of the recession.;0;religion
go to war over;To declare a war over someone or something.;The US administration has gone to war over teenagers' pregnancy for decades in vain.;0;war
go with the flow;To do what people do and accept things as they are.;Don't worry too much! Take it easy and go with the flow!;0;relationship
God forbid;Said when you hope that something does not happen.;God forbid that they encounter a problem on their way home.;0;religion
God knows;Said when you have absolutely no knowledge of something.;God knows what he's going to do after his divorce.;0;religion
God's honest truth;This idiom refers the absolute, unquestionable truth. The idiom is used to suggest that something is the complete truth.;His criticism was too harsh on him, but it was simply God's honest truth.;0;religion
golden age;Period of prosperity.;The golden age of Hollywood.;0;age
golden opportunity;Ideal moment to do something.;She missed a golden opportunity to prepare herself for a career as a doctor, when she didn't continue her studies at university.;0;colors
good fences make good neighbors;This means that people should respect other people's property and privacy and mind their own business.;Our neighbor should prevent his children from messing up our lawn. Good fences make good neighbors.;0;relationship
green light;Permission to go ahead with something such as a project.;As a result of the severe drought, the government has given the green light for importing cereals.;0;colors
green with envy;Consumed by envy, envious to the point where it is noticeable to others.;She was green with envy when she saw my new car.;0;colors
green-eyed monster;Envy, jealousy, covetousness;His success aroused the green-eyed monster in his friend.;0;colors
greener pastures;This idiom refers to a more promising situation.;The young ambitious girl emigrated to Canada seeking greener pastures where she can develop her career.;0;nature
grin like a Cheshire cat;To smile very broadly. This is an allusion to a fictional cat popularised by Lewis Carroll's depiction of it in Alice's Adventures in Wonderland and known for its distinctive mischievous grin.;He knew that she was fearing a scandal. He stood in front of her, grinning like a Cheshire cat, waiting for more money in return for his silence.;0;animals
grouse about someone or something;To complain.;He was grousing about his son's laziness.;0;animals
gum up the works;This idiom means to prevent a process, a system or a machine from working smoothly.;He is not careful enough and always gums up the works.;0;work
hale and hearty;In a good health.;In spite of her old age, she looks hale and hearty.;0;health
hand in the till;This idiom means to steal from one's employer.;The boss fired him because he was caught with his hand in the till.;0;crime
handle someone with kid gloves;To be very careful and polite to a person because you don't want to hurt him or her, or you don't want to to make him or her angry or upset.;He has become so sensitive after his divorce. You need to handle him with kid gloves.;0;clothes
hands are tied;To be unable to help, intervene or act.;The new legislation has tied his hands.;0;parts of the body
hat in hand;This idiom means to ask someone for a favor with humility.;She came back hat in hand asking for forgiveness.;0;clothes
have a card up your sleeve;To have a secret plan that can be used when needed.;Nancy must have an ace up her sleeve, otherwise, she wouldn't have rejected that offer;0;clothes
have a chip on your shoulder;This idiom means to be be angry about something that happened sometimes in the past or to hold a grudge.;Although he has become a millionaire, he still has a chip on his shoulder about not going to university.;0;parts of the body
have a cow;To be very worried, upset or angry about something;My father had a cow when I stayed out late yesterday.;0;animals
have a face like thunder;This idiom is used to describe a person who is angry or upset about something.;She had a face like thunder when she discovered the truth.;0;weather
have a leg up on somebody;To have an advantage over someone.;She probably has a leg up on the other students because she is more studious.;0;parts of the body
have a lot on one�s plate;This idiom is used to mean that one is very busy and have commitments.;I have a lot on my plate right now.;0;furniture
have a whale of a time;This idiom means to have an exciting or fun time.;I had a whale of a time at the party yesterday.;0;time
have an axe to grind;To have a strong opinion about something.;The members of that association have no political axe to grind, they just want to help the street children.;0;general
have ants in your pants;This idiom means to be very excited, restless, anxious or worried about something.;It's the first time that he dates a girl. That's why he's got ants in his pants.;0;clothes
have big ears;To be nosy and listen to other people's private conversations.;Speak quietly. Nancy has big ears you.;0;parts of the body
have bigger fish to fry;To have other things to do, to have more important things to do.;I can't answer your question. I have bigger fish to fry.;0;animals
have egg on one's face;This idiom means to be embarrassed by something one has done.;If the president doesn't keep his promises, he will end up having egg on his face.;0;food
have friends in high places;To know powerful people.;Don't worry about the problem. I have friends in high places.;0;relationship
have kittens;To be very worried, upset or angry about something.;My father had kittens when I stayed out late yesterday.;0;animals
have money to burn;To be very rich and spend a lot of money on unnecessary things.;He seems to have money to burn. He always buys his girlfriend extravagant things;0;money
have one's wires crossed;To be confused.;You've really got your wires crossed! You don't know what you are talking about.;0;general
have other fish to fry;To have other things to do, to have more important things to do.;I can't answer your question. I have other fish to fry.;0;animals
have something down to a science;Said when you are able to manage doing something very well.;They have the management of the concert down to a science.;0;technology and science
have the hots for someone;To be strongly sexually attracted to someone.;He has the hots for her but he can't tell her. He's so shy.;0;sexuality
have time on your hands;This idiom means that one has extra time.;I don't have much time on my hands. I'm too busy.;0;time
have to face the music;Accept or face the unpleasant consequences of one's actions.;Leila didn't manage to finish the job on time and had to face the music.;0;music
have too much on one's plate;This idiom means to be too busy.;I have too much on my plate right now. I can't help you.;0;furniture
he that would the daughter win, must with the mother first begin;This idiom means that if you intend to marry a woman, first try to win her mother on your side.;Listen Joe, if you want to marry Nancy, try to impress her mother first and be sure that she is on your side. He that would the daughter win, must with the mother first begin.;0;relationship
head over heels;Completely in love.;They fell head over heels for one another at the very moment they met.;0;parts of the body
heart of gold;A person who is very kind and has a good nature.;He is a good boy with a heart of gold. He would never break her heart.;0;parts of the body
heavy weather;This idiom refers to considerable difficulty.;My daughter found mathematics heavy going.;0;weather
help a lame dog over a stile;Said about someone who helps people who are in difficulty or trouble.;You can trust him. He always helps a lame dog over a stile.;0;animals
high man on the totem pole;The most important person in a hierarchy or organization.;I want to meet the hign man on the totem pole.;0;religion
high time;To do something, it is the appropriate time for it.;It's high time you began learning how to drive.;0;time
highway robbery;This idiom is used to refer to a price or a fee that is exorbitantly high.;The price for wine in this restaurant is simply highway robbery;0;crime
highways and byways;Major and minor roads.;They spent their holiday exploring the highways and byways of the country;0;travel
hit a home run;To be successful.;They hit a home run with their excellent performance in the new play.;0;home
hit the ceiling;To become very angry and start shouting.;He hit the ceiling when he knew the truth.;0;home
hit the nail on the head;Said to describe exactly a situation or a problem.;I think you hit the nail on the head when you said that the Smiths lack a sense of cooperation in their family.;0;parts of the body
hit the panic button;To panic suddenly.;Relax! Don't hit the button it's just the wind.;0;technology and science
hit the road;To begin traveling, to leave a place, to go away.;We've got a long way to go. Let's hit the road to make it by sunset.;0;travel
hit the roof;To become angry and start shouting.;The teacher hit the roof when the student was very late again.;0;home
hitch one's wagon to a star;Aspire to do something great or aim high, follow a great ambition.;he urged his students to hitch their wagons to a star.;0;travel
hold someone accountable (for something);To consider someone responsible for something.;I hold you accountable for whatever happens to my daughter.;0;law
home away from home;A place where you are at ease as if you were at home.;When I used to visit her, it was really a real home away from home.;0;home
home free;To be certain of being successful because you have finished the most difficult part.;Once you hand in the last part of your dissertation, you're home free.;0;home
home truth;This idiom refers to an unpleasant fact about oneself.;It is high time I told him a few home truths.;0;home
horse of a different color;A different matter.;If you want to invest in the stock market, it's ok. Gambling, however, is a horse of a different color.;0;animals
Hot potato;An awkward or delicate problem with which nobody wants to be associated.;Gun control in the United States has always been a hot potato for politicians.;0;food
how come?;Used to ask how or why.;So how come you missed the train?;0;general
hustle and bustle;This idiom refers to a busy activity usually in a noisy surrounding.;I don't like the hustle and bustle of big cities.;0;work
I can't put a name to someone;Said when you can't remmeber someone's name.;She was my classmate. I remember her face but I can't put a name to her.;0;names
I could murder something;This idiom means that you really want to eat or drink something.;I could murder a pizza.;0;crime
I'll eat my hat;Said to suggest that you will be surprised if something happens.;If his business becomes successful, I'll eat my hat.;0;clothes
if the shoe fits, wear it;This idiom means if something applies to you, then accept it.;The teacher says that I need to spend more time with my son. Well, if the shoe fits, wear it.;0;clothes
if you want peace, prepare for war;This idiom means that if a country is well armed and is strong, its opponents will be less likely to attack it.;"The general said that believing in disarmament is not a good idea and added: ""if you want peace, you must prepare for war.""";0;war
ill-gotten gains;Money or other possession gained dishonestly.;All his ill-gotten gains are hidden somewhere in his bedroom.;0;money
in a body;Said when a group of people do something together.;The workers went in a body to the boss to ask for higher wages.;0;parts of the body
in a coon's age;This idiom means in a very long time.;She hasn't seen him in a coon's age. She is so happy to meet him again.;0;age
in a dead heat;Said when two or more competitors finish a race or a competition at exactly the same time or with exactly the same result.;The two horses finished the race in a dead heat.;0;sport
in a fog;This idiom is used when someone is confused, dazed, disoriented.;After he heard the bad news, he was in a fog for a moment.;0;weather
In a nutsheel;In summary.;The truth in a nutshell is that I know nothing about what they want me to do in this job.;0;food
in a split second;In just very short time.;Every thing was calm. But just in a split second a storm hit the whole region causing a lot of victims.;0;time
in bad shape;In bad physical condition.;Bill is in bad shape. He needs to exercise regularly and go on a diet.;0;health
in cold blood;This idiom means to do something without feeling or with cruel intent.;The woman killed her baby in cold blood. It is just horrible.;0;crime
in front of one’s nose;This idiom refers to something that is plain, clearly apparent, or obvious.;If they had paid more attention, they would have discovered that the answer to the riddle was under their noses the whole time.;0;parts of the body
in God's name;Used to add emphasis.;What in God's name did you do to that poor girl?;0;religion
in name only;This idiom means nominally, not essentially.;They were married only in name, the fact is that they lived in different countries.;0;names
in one's cups;Drunk, in the act of consuming alcohol liberally.;He couldn't be understood because he was in his cups.;0;furniture
in plain English;This idiom means in clear, simple language.;Please, tell me what you mean in plain English.;0;language
in someone's pocket;This idiom means to be dependent on someone financially and consequently under their influence.;The committee must surely have been in his pocket.;0;clothes
in the air;Said about something that is happening or about to happen.;Everybody in the company know that change is in the air.;0;nature
in the bag;Certain or extremely likely to occur, assured about the success of somoething.;Don't worry about the final exam. It's in the bag.;0;general
in the best of health;Very healthy.;He's in the best health because he exercises regularly and doesn't eat junk food.;0;health
in the blink of an eye;Very quickly.;He disappeared in the blink of an eye.;0;parts of the body
in the cold light of day;This idiom is used when you see things objectively, clearly and calmly, without the emotions you had at the time they occurred.;Later, in the cold light of day, John realized his mistake. But it was too late, the harm was done.;0;weather
in the dock;To be on trial in court;The accused stood in the dock.;0;crime
in the eyes of the law;Legally.;In the eyes of the law you are not allowed to treat people like that.;0;law
in the family way;Pregnant.;I've heard that Leila is in the family way. Is that true?;0;sexuality
in the firing line;To be in a situation where you are likely to be criticized or attacked.;The company tried to get out of the firing line by responding favorably to the demands of the customers.;0;war
in the money;Very rich;He's in the money. He's extremely rich.;0;money
in the nick of time;This idiom means at the last possible moment, just before it's too late.;I arrived at the train station in the nick of time and took the last train to the capital city.;0;time
in the oven;This idiom means that someone is pregnant.;She probably has one in the oven.;0;furniture
in the pink;Healthy.;He has been in the pink since he decided to go on a diet and exercise regularly.;0;colors
in the same boat;In the same situation, having the same problems.;Can you lend me 100 dollars? Sorry,I am broke. I am in the same boat;0;travel
